Forenames, Lastname,Affiliation
Sheridan,Brown,Chygrove Ltd
Nicola, Dowson,The Open University
Michael, Eadie,University of Glasgow
Beverley,Jones,University of Sheffield
Petr,Knoth,"Knowledge Media institute, The Open University"
Gerald, Lawson,Natural Environment Research Council
George, Macgregor,University of Glasgow
Agustina,Martínez-García,University of Cambridge
Balviar, Notay,JISC
Kate,O'Neill,University of Sheffield
John,Salter,Leeds University
Angus,Taggart,University of Sheffield
Herbert,Van de Sompel,
Paul,Walk,Antleaf Ltd.
